Date,Home Team,Away Team,Home Score,Away Score,Venue
Wed 16-Mar-2022,Melbourne,Western Bulldogs,97,71,M.C.G.
Thu 17-Mar-2022,Carlton,Richmond,101,76,M.C.G.
Fri 18-Mar-2022,St Kilda,Collingwood,85,102,Docklands
Sat 19-Mar-2022,Geelong,Essendon,138,72,M.C.G.
Sat 19-Mar-2022,Greater Western Sydney,Sydney,92,112,Stadium Australia
Sat 19-Mar-2022,Brisbane Lions,Port Adelaide,80,69,Gabba
Sun 20-Mar-2022,Hawthorn,North Melbourne,78,58,M.C.G.
Sun 20-Mar-2022,Adelaide,Fremantle,82,83,Adelaide Oval
Sun 20-Mar-2022,West Coast,Gold Coast,80,107,Perth Stadium
Thu 24-Mar-2022,Western Bulldogs,Carlton,90,102,Docklands
Fri 25-Mar-2022,Sydney,Geelong,107,77,S.C.G.
Sat 26-Mar-2022,Collingwood,Adelaide,100,58,M.C.G.
Sat 26-Mar-2022,Essendon,Brisbane Lions,75,97,Docklands
Sat 26-Mar-2022,Port Adelaide,Hawthorn,56,120,Adelaide Oval
Sat 26-Mar-2022,Gold Coast,Melbourne,69,82,Carrara
Sun 27-Mar-2022,North Melbourne,West Coast,74,59,Docklands
Sun 27-Mar-2022,Richmond,Greater Western Sydney,109,73,M.C.G.
Sun 27-Mar-2022,Fremantle,St Kilda,55,65,Perth Stadium
Thu 31-Mar-2022,Western Bulldogs,Sydney,71,60,Docklands
Fri 01-Apr-2022,Melbourne,Essendon,99,70,M.C.G.
Fri 01-Apr-2022,Adelaide,Port Adelaide,96,92,Adelaide Oval
Sat 02-Apr-2022,Greater Western Sydney,Gold Coast,83,57,Sydney Showground
Sat 02-Apr-2022,Collingwood,Geelong,91,104,M.C.G.
Sat 02-Apr-2022,Brisbane Lions,North Melbourne,156,48,Gabba
Sun 03-Apr-2022,Carlton,Hawthorn,74,73,M.C.G.
Sun 03-Apr-2022,St Kilda,Richmond,117,84,Docklands
Sun 03-Apr-2022,West Coast,Fremantle,47,102,Perth Stadium
Thu 07-Apr-2022,Port Adelaide,Melbourne,36,68,Adelaide Oval
Fri 08-Apr-2022,Geelong,Brisbane Lions,80,70,Kardinia Park
Sat 09-Apr-2022,Sydney,North Melbourne,86,75,S.C.G.
Sat 09-Apr-2022,Collingwood,West Coast,74,87,Docklands
Sat 09-Apr-2022,Fremantle,Greater Western Sydney,88,54,Perth Stadium
Sat 09-Apr-2022,Richmond,Western Bulldogs,99,61,M.C.G.
Sun 10-Apr-2022,Essendon,Adelaide,103,99,Docklands
Sun 10-Apr-2022,Hawthorn,St Kilda,73,142,M.C.G.
