team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2023,29,"Laird, Rory",22,262,67,375,637,28.95,3,10,0,175,34,84,140,82,40,34,20,304,342,1,3,22,5,11
Adelaide,2023,12,"Dawson, Jordan",23,401,114,222,623,27.09,6,15,0,153,52,130,88,87,38,27,20,216,386,13,7,39,13,20
Adelaide,2023,33,"Smith, Brodie",22,334,109,132,466,21.18,4,4,0,50,107,76,26,61,9,13,1,119,292,7,4,34,1,5
Adelaide,2023,2,"Keays, Ben",23,218,72,223,441,19.17,22,19,0,87,18,78,59,65,14,17,2,180,241,0,14,25,0,16
Adelaide,2023,30,"Milera, Wayne",22,247,96,186,433,19.68,3,0,0,43,83,42,15,51,13,11,0,121,280,11,0,37,3,5
Adelaide,2023,20,"Hinge, Mitch",22,313,104,119,432,19.64,1,4,0,46,106,48,12,56,22,13,0,141,259,9,1,60,1,4
Adelaide,2023,9,"Sloane, Rory",22,212,69,187,399,18.14,6,2,1,113,23,63,83,64,19,29,2,183,214,7,5,37,1,8
Adelaide,2023,14,"Soligo, Jake",21,209,74,138,347,16.52,10,11,0,65,36,45,54,57,11,16,1,148,214,3,14,23,6,9
Adelaide,2023,4,"Murphy, Lachlan",22,190,67,139,329,14.95,12,8,0,67,10,80,49,54,25,16,0,142,192,3,9,25,10,13
Adelaide,2023,8,"Rachele, Josh",21,204,81,117,321,15.29,23,25,0,70,14,56,30,62,22,15,0,111,212,4,22,18,10,14
Adelaide,2023,22,"Rankine, Izak",20,197,74,121,318,15.9,36,27,0,64,4,64,38,70,14,28,7,156,160,8,33,18,15,15
Adelaide,2023,1,"Jones, Chayce",18,216,46,98,314,17.44,7,5,0,49,54,45,40,38,13,9,0,111,176,2,4,29,2,9
Adelaide,2023,43,"OBrien, Reilly",23,117,66,169,286,12.43,4,4,888,72,18,29,66,69,21,26,3,174,91,32,6,84,0,9
Adelaide,2023,13,"Walker, Taylor",22,226,124,60,286,13.0,76,34,55,29,0,53,21,68,18,27,16,138,150,41,63,27,1,16
Adelaide,2023,38,"Sholl, Lachlan",16,175,78,100,275,17.19,4,5,0,31,32,32,22,32,5,11,0,79,202,1,5,3,3,6
Adelaide,2023,10,"Pedlar, Luke",21,173,72,76,249,11.86,25,15,0,55,4,52,29,66,26,25,0,115,146,3,22,19,2,13
Adelaide,2023,32,"Fogarty, Darcy",21,157,102,80,237,11.29,34,23,1,41,1,41,8,50,11,24,3,102,139,24,42,24,2,16
Adelaide,2023,16,"Michalanney, Max",22,159,80,78,237,10.77,0,0,0,75,49,22,6,39,15,12,0,74,156,8,1,63,0,2
Adelaide,2023,7,"Thilthorpe, Riley",21,126,74,97,223,10.62,18,9,116,31,7,38,25,53,16,19,2,134,88,38,19,41,0,9
