team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2017,9807,395,254,1795,990,1437,2273,310,1135,316.35483870967744,12.741935483870968,57.903225806451616,8,4,3,17,8,6,4,31,24,23,18,88,14,20,60.86286594761171,3868,5986,39.44121545834608,1404,-3
Brisbane Lions,2017,8003,276,177,1367,803,1012,2067,203,890,210.60526315789474,7.2631578947368425,35.973684210526315,3,2,0,9,6,2,2,38,23,17,10,47,8,17,60.9271523178808,2878,5054,35.96151443208797,1196,47
Carlton,2017,7913,232,163,1526,754,1027,2288,256,857,202.89743589743588,5.948717948717949,39.12820512820513,3,2,0,10,4,4,2,39,24,17,12,53,10,11,58.734177215189874,3026,4837,38.240869455326674,1163,30
Collingwood,2017,8863,278,225,1528,824,1198,2326,250,945,239.54054054054055,7.513513513513513,41.2972972972973,3,1,0,10,7,3,3,37,24,17,10,72,10,15,55.26838966202783,3172,5716,35.789236150287714,1161,46
Essendon,2017,9132,319,230,1479,788,1182,2399,267,835,253.66666666666666,8.86111111111111,41.083333333333336,5,4,2,14,9,5,2,36,23,21,15,71,10,15,58.1056466302368,3189,5899,34.92115637319317,1247,-10
Fremantle,2017,7937,231,176,1401,793,1044,1998,235,952,214.51351351351352,6.243243243243243,37.86486486486486,3,0,0,9,6,3,0,37,26,16,8,57,9,15,56.75675675675676,2934,4985,36.96610810129772,1165,-40
Geelong,2017,9570,343,241,1901,929,1324,2175,310,1025,265.8333333333333,9.527777777777779,52.80555555555556,5,3,3,15,7,5,6,36,26,21,17,80,12,33,58.73287671232876,3684,5934,38.49529780564263,1380,-12
Gold Coast,2017,8526,257,185,1356,798,1063,2121,200,905,203.0,6.119047619047619,32.285714285714285,4,2,1,12,7,0,0,42,25,15,6,47,11,14,58.144796380090504,3037,5458,35.620455078583156,1187,-4
Greater Western Sydney,2017,9621,336,244,1764,1056,1359,2225,243,1131,260.02702702702703,9.08108108108108,47.67567567567568,4,3,3,13,8,6,2,37,26,21,13,81,11,21,57.931034482758626,3606,6020,37.48051138135329,1370,-56
Hawthorn,2017,8662,273,187,1536,773,1064,2274,238,877,234.1081081081081,7.378378378378378,41.513513513513516,2,2,0,14,7,2,2,37,22,20,10,61,11,25,59.34782608695652,2957,5694,34.13761256060956,1094,-27
Melbourne,2017,8914,302,172,1581,833,1206,1883,207,754,247.61111111111111,8.38888888888889,43.916666666666664,7,1,1,15,8,2,2,36,24,21,8,68,15,12,63.71308016877637,3370,5561,37.80569890060579,1267,-4
North Melbourne,2017,8110,290,209,1532,791,1163,1828,251,913,219.1891891891892,7.837837837837838,41.4054054054054,2,1,1,12,5,1,3,37,24,17,9,40,7,14,58.116232464929865,3071,5032,37.86683107274969,1140,38
Port Adelaide,2017,8713,323,267,1599,896,1363,2176,316,1040,248.94285714285715,9.228571428571428,45.68571428571428,4,2,2,13,8,2,3,35,23,20,15,84,13,18,54.74576271186441,3462,5255,39.73373120624355,1303,-26
Richmond,2017,9118,331,252,1742,900,1396,2112,274,794,239.94736842105263,8.710526315789474,45.8421052631579,6,3,1,14,8,6,2,38,21,20,18,80,12,36,56.77530017152659,3623,5354,39.7345909190612,1449,-58
St Kilda,2017,8755,271,250,1523,788,1160,2050,250,848,257.5,7.970588235294118,44.794117647058826,5,3,0,15,7,5,1,34,24,22,12,57,11,14,52.01535508637236,3140,5621,35.865219874357514,1145,18
Sydney,2017,8923,329,241,1664,865,1263,2182,302,924,254.94285714285715,9.4,47.542857142857144,5,3,1,14,11,4,4,35,24,22,14,88,12,23,57.719298245614034,3506,5408,39.291718032052,1298,-29
West Coast,2017,9033,309,209,1521,889,1189,2389,301,924,265.6764705882353,9.088235294117647,44.73529411764706,4,3,2,11,8,5,2,34,26,20,13,63,12,13,59.65250965250966,3345,5758,37.03088674858851,1221,30
Western Bulldogs,2017,8634,260,240,1549,760,1203,1848,211,759,233.35135135135135,7.027027027027027,41.86486486486486,3,0,0,12,9,3,3,37,26,16,8,51,10,19,52.0,3168,5431,36.69214732453092,1041,64
