team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2015,8271,332,215,1384,934,1266,2063,254,1001,258.46875,10.375,43.25,6,4,3,13,5,3,3,32,26,20,14,73,11,22,60.69469835466179,3282,4923,39.68081247733043,1135,2
Brisbane Lions,2015,7770,224,165,1376,900,972,1975,188,1029,194.25,5.6,34.4,1,0,0,10,9,1,3,40,24,16,10,35,8,9,57.58354755784062,2840,4928,36.55083655083655,1055,-30
Carlton,2015,7526,219,171,1246,869,971,1838,213,879,188.15,5.475,31.15,2,1,0,9,7,1,0,40,25,14,7,35,11,12,56.15384615384615,2865,4646,38.06803082646824,1012,17
Collingwood,2015,8159,287,182,1583,858,1157,1834,219,843,226.63888888888889,7.972222222222222,43.97222222222222,5,2,0,10,7,2,2,36,23,19,11,66,10,17,61.19402985074627,3178,4936,38.95085182007599,1008,46
Essendon,2015,8311,226,178,1459,802,1077,2104,240,754,202.70731707317074,5.512195121951219,35.58536585365854,2,1,0,11,5,3,2,41,22,16,9,38,9,10,55.940594059405946,3000,5291,36.096739261220065,1078,-29
Fremantle,2015,9007,293,184,1527,1007,1169,2245,272,1405,237.02631578947367,7.7105263157894735,40.18421052631579,3,2,2,15,8,5,4,38,26,21,14,94,10,31,61.42557651991615,3373,5653,37.448651049183965,1052,-53
Geelong,2015,7664,272,170,1429,727,1045,2039,275,725,218.97142857142856,7.771428571428571,40.82857142857143,3,2,1,11,5,0,4,35,24,18,9,64,13,13,61.53846153846154,2771,4911,36.156054279749476,972,-59
Gold Coast,2015,7114,235,180,1442,853,1005,1676,216,779,173.5121951219512,5.7317073170731705,35.170731707317074,2,2,2,4,2,0,2,41,25,18,4,37,10,7,56.62650602409639,2993,4040,42.071970761877985,1086,36
Greater Western Sydney,2015,8006,268,212,1485,827,1084,2020,223,881,210.68421052631578,7.052631578947368,39.078947368421055,2,2,1,11,7,4,2,38,25,16,9,63,12,19,55.833333333333336,2809,5128,35.086185360979265,1016,-13
Hawthorn,2015,10274,426,234,1705,1051,1459,2735,273,1156,311.3333333333333,12.909090909090908,51.666666666666664,7,4,4,18,11,7,4,33,25,23,19,88,12,26,64.54545454545455,3498,6777,34.04710920770878,1147,18
Melbourne,2015,7473,225,182,1532,833,978,1785,276,1010,191.6153846153846,5.769230769230769,39.282051282051285,2,2,2,9,4,2,2,39,24,15,11,42,7,14,55.28255528255528,2974,4477,39.79660109728355,962,-14
North Melbourne,2015,8850,336,217,1629,979,1254,2152,292,1213,260.29411764705884,9.882352941176471,47.911764705882355,7,5,2,17,7,3,5,34,25,22,17,68,13,18,60.75949367088608,3392,5453,38.32768361581921,1153,54
Port Adelaide,2015,7990,296,170,1586,920,1157,1924,232,1097,228.28571428571428,8.457142857142857,45.31428571428572,5,2,2,9,6,3,3,35,25,17,10,70,12,16,63.519313304721024,3055,4919,38.23529411764706,1103,-15
Richmond,2015,8312,294,193,1323,833,1152,2213,255,865,218.73684210526315,7.7368421052631575,34.81578947368421,4,2,1,14,7,5,0,38,23,19,14,94,13,21,60.36960985626283,3137,5142,37.74061597690086,1052,72
St Kilda,2015,7985,241,188,1518,773,1115,2120,220,863,210.1315789473684,6.342105263157895,39.94736842105263,2,1,1,11,5,2,3,38,24,18,9,46,9,12,56.17715617715617,2913,5099,36.48090169067001,1081,-64
Sydney,2015,9398,306,221,1730,921,1294,2222,247,1046,293.6875,9.5625,54.0625,3,2,2,15,11,5,4,32,25,21,17,94,12,25,58.06451612903226,3342,6024,35.5607576080017,1155,-43
West Coast,2015,9245,372,275,1512,998,1347,2239,283,1295,264.14285714285717,10.628571428571428,43.2,6,4,3,14,10,4,3,35,25,21,17,97,13,28,57.496136012364765,3511,5696,37.97728501892915,1017,85
Western Bulldogs,2015,8469,324,199,1573,905,1260,2000,233,866,211.725,8.1,39.325,3,3,2,10,7,3,4,40,29,14,10,78,14,13,61.95028680688337,3204,5243,37.83209351753454,1014,4
Adelaide,2016,9397,396,271,1651,923,1389,2275,310,932,324.0344827586207,13.655172413793103,56.93103448275862,6,5,4,19,9,4,4,29,23,23,19,87,13,24,59.37031484257871,3654,5755,38.884750452272,1201,33
Brisbane Lions,2016,7424,254,190,1498,797,1018,1600,187,869,185.6,6.35,37.45,2,0,0,8,6,1,3,40,25,17,7,20,4,9,57.20720720720721,2972,4393,40.0323275862069,1127,-21
Carlton,2016,8123,224,186,1452,765,1116,1977,232,863,232.0857142857143,6.4,41.48571428571429,1,0,0,9,8,5,3,35,25,19,12,45,9,18,54.63414634146342,2914,5123,35.87344577126677,1084,11
Collingwood,2016,8360,276,196,1719,756,1131,1968,247,776,214.35897435897436,7.076923076923077,44.07692307692308,3,0,0,12,4,3,5,39,27,17,10,66,11,21,58.47457627118644,3157,5267,37.76315789473684,1092,39
